year,item_text,href,reason
2023,,https://www.clevelandfed.org/-/media/project/clevelandfedtenant/clevelandfedsite/banking/fry6-reports/2023/greenville-national-bancorp-greenville-oh-1071566.pdf,http_download_error:download failed after 3 retries: 404 Client Error: Not Found for url: https://www.clevelandfed.org/-/media/project/clevelandfedtenant/clevelandfedsite/banking/fry6-reports/2023/greenville-national-bancorp-greenville-oh-1071566.pdf
2023,,https://www.clevelandfed.org/-/media/project/clevelandfedtenant/clevelandfedsite/banking/fry6-reports/2023/guardian-bancorp-inc-west-chester-oh-3827927.pdf,http_download_error:download failed after 3 retries: 404 Client Error: Not Found for url: https://www.clevelandfed.org/-/media/project/clevelandfedtenant/clevelandfedsite/banking/fry6-reports/2023/guardian-bancorp-inc-west-chester-oh-3827927.pdf
2017,,https://www.clevelandfed.org/-/media/project/clevelandfedtenant/clevelandfedsite/banking/fry6-reports/2017/fifth-third-bancorp-cincinnati-oh--1070345.pdf,http_download_error:download failed after 3 retries: 404 Client Error: Not Found for url: https://www.clevelandfed.org/-/media/project/clevelandfedtenant/clevelandfedsite/banking/fry6-reports/2017/fifth-third-bancorp-cincinnati-oh--1070345.pdf
2017,,https://www.clevelandfed.org/-/media/project/clevelandfedtenant/clevelandfedsite/banking/fry6-reports/2017/first-bancshares-inc-bellevue-oh--1071258.pdf,http_download_error:download failed after 3 retries: 404 Client Error: Not Found for url: https://www.clevelandfed.org/-/media/project/clevelandfedtenant/clevelandfedsite/banking/fry6-reports/2017/first-bancshares-inc-bellevue-oh--1071258.pdf
2017,,https://www.clevelandfed.org/-/media/project/clevelandfedtenant/clevelandfedsite/banking/fry6-reports/2017/first-blanchester-bancshares-inc-blanchester-oh--1859193.pdf,http_download_error:download failed after 3 retries: 404 Client Error: Not Found for url: https://www.clevelandfed.org/-/media/project/clevelandfedtenant/clevelandfedsite/banking/fry6-reports/2017/first-blanchester-bancshares-inc-blanchester-oh--1859193.pdf
2017,,https://www.clevelandfed.org/-/media/project/clevelandfedtenant/clevelandfedsite/banking/fry6-reports/2017/first-prestonsburg-bancshares-inc-prestonsburg-ky--1071043.pdf,http_download_error:download failed after 3 retries: 404 Client Error: Not Found for url: https://www.clevelandfed.org/-/media/project/clevelandfedtenant/clevelandfedsite/banking/fry6-reports/2017/first-prestonsburg-bancshares-inc-prestonsburg-ky--1071043.pdf
2017,,https://www.clevelandfed.org/-/media/project/clevelandfedtenant/clevelandfedsite/banking/fry6-reports/2017/forcht-bancorp-inc-corbin-ky--3446346.pdf,http_download_error:download failed after 3 retries: 404 Client Error: Not Found for url: https://www.clevelandfed.org/-/media/project/clevelandfedtenant/clevelandfedsite/banking/fry6-reports/2017/forcht-bancorp-inc-corbin-ky--3446346.pdf
2017,,https://www.clevelandfed.org/-/media/project/clevelandfedtenant/clevelandfedsite/banking/fry6-reports/2017/fryburg-banking-company-inc-fryburg-pa--2687601.pdf,http_download_error:download failed after 3 retries: 404 Client Error: Not Found for url: https://www.clevelandfed.org/-/media/project/clevelandfedtenant/clevelandfedsite/banking/fry6-reports/2017/fryburg-banking-company-inc-fryburg-pa--2687601.pdf
2017,,https://www.clevelandfed.org/-/media/project/clevelandfedtenant/clevelandfedsite/banking/fry6-reports/2017/new-richmond-bancorporation-new-richmond-oh--1070541.pdf,http_download_error:download failed after 3 retries: 404 Client Error: Not Found for url: https://www.clevelandfed.org/-/media/project/clevelandfedtenant/clevelandfedsite/banking/fry6-reports/2017/new-richmond-bancorporation-new-richmond-oh--1070541.pdf
2017,,https://www.clevelandfed.org/-/media/project/clevelandfedtenant/clevelandfedsite/banking/fry6-reports/2017/peoples-of-fleming-county-bancorp-inc-flemingsburg-ky--2356701.pdf,http_download_error:download failed after 3 retries: 404 Client Error: Not Found for url: https://www.clevelandfed.org/-/media/project/clevelandfedtenant/clevelandfedsite/banking/fry6-reports/2017/peoples-of-fleming-county-bancorp-inc-flemingsburg-ky--2356701.pdf
2017,,https://www.clevelandfed.org/-/media/project/clevelandfedtenant/clevelandfedsite/banking/fry6-reports/2017/sb-financial-group-inc-defiance-oh-1071454.pdf,http_download_error:download failed after 3 retries: 404 Client Error: Not Found for url: https://www.clevelandfed.org/-/media/project/clevelandfedtenant/clevelandfedsite/banking/fry6-reports/2017/sb-financial-group-inc-defiance-oh-1071454.pdf
2016,,https://www.clevelandfed.org/-/media/project/clevelandfedtenant/clevelandfedsite/banking/fry6-reports/2016/cnb-bancorp-inc-woodsfield-oh-2376969.pdf,http_download_error:download failed after 3 retries: 404 Client Error: Not Found for url: https://www.clevelandfed.org/-/media/project/clevelandfedtenant/clevelandfedsite/banking/fry6-reports/2016/cnb-bancorp-inc-woodsfield-oh-2376969.pdf
2016,,https://www.clevelandfed.org/-/media/project/clevelandfedtenant/clevelandfedsite/banking/fry6-reports/2016/fifth-third-bancorp-cincinnati-oh-1070345.pdf,http_download_error:download failed after 3 retries: 404 Client Error: Not Found for url: https://www.clevelandfed.org/-/media/project/clevelandfedtenant/clevelandfedsite/banking/fry6-reports/2016/fifth-third-bancorp-cincinnati-oh-1070345.pdf
2016,,https://www.clevelandfed.org/-/media/project/clevelandfedtenant/clevelandfedsite/banking/fry6-reports/2016/first-feddelta-bancshares-inc-delta-oh-4151919.pdf,http_download_error:download failed after 3 retries: 404 Client Error: Not Found for url: https://www.clevelandfed.org/-/media/project/clevelandfedtenant/clevelandfedsite/banking/fry6-reports/2016/first-feddelta-bancshares-inc-delta-oh-4151919.pdf
2016,,https://www.clevelandfed.org/-/media/project/clevelandfedtenant/clevelandfedsite/banking/fry6-reports/2016/first-mutual-holding-co-lakewood-oh-4843090.pdf,http_download_error:download failed after 3 retries: 404 Client Error: Not Found for url: https://www.clevelandfed.org/-/media/project/clevelandfedtenant/clevelandfedsite/banking/fry6-reports/2016/first-mutual-holding-co-lakewood-oh-4843090.pdf
2016,,https://www.clevelandfed.org/-/media/project/clevelandfedtenant/clevelandfedsite/banking/fry6-reports/2016/fjsb-banchares-inc-ft-jennings-oh-2524443.pdf,http_download_error:download failed after 3 retries: 404 Client Error: Not Found for url: https://www.clevelandfed.org/-/media/project/clevelandfedtenant/clevelandfedsite/banking/fry6-reports/2016/fjsb-banchares-inc-ft-jennings-oh-2524443.pdf
2016,,https://www.clevelandfed.org/-/media/project/clevelandfedtenant/clevelandfedsite/banking/fry6-reports/2016/northwest-bancshares-inc-warren-pa-4122722.pdf,http_download_error:download failed after 3 retries: 404 Client Error: Not Found for url: https://www.clevelandfed.org/-/media/project/clevelandfedtenant/clevelandfedsite/banking/fry6-reports/2016/northwest-bancshares-inc-warren-pa-4122722.pdf
2016,,https://www.clevelandfed.org/-/media/project/clevelandfedtenant/clevelandfedsite/banking/fry6-reports/2016/ohio-valley-banc-corp-gallipolis-oh-2012436.pdf,http_download_error:download failed after 3 retries: 404 Client Error: Not Found for url: https://www.clevelandfed.org/-/media/project/clevelandfedtenant/clevelandfedsite/banking/fry6-reports/2016/ohio-valley-banc-corp-gallipolis-oh-2012436.pdf
2016,,https://www.clevelandfed.org/-/media/project/clevelandfedtenant/clevelandfedsite/banking/fry6-reports/2016/peoples-bancorp-inc-marietta-oh-1070578.pdf,http_download_error:download failed after 3 retries: 404 Client Error: Not Found for url: https://www.clevelandfed.org/-/media/project/clevelandfedtenant/clevelandfedsite/banking/fry6-reports/2016/peoples-bancorp-inc-marietta-oh-1070578.pdf
2016,,https://www.clevelandfed.org/-/media/project/clevelandfedtenant/clevelandfedsite/banking/fry6-reports/2016/valley-central-mhc-liberty-township-oh-4352574.pdf,http_download_error:download failed after 3 retries: 404 Client Error: Not Found for url: https://www.clevelandfed.org/-/media/project/clevelandfedtenant/clevelandfedsite/banking/fry6-reports/2016/valley-central-mhc-liberty-township-oh-4352574.pdf
2015,,https://www.clevelandfed.org/-/media/project/clevelandfedtenant/clevelandfedsite/banking/fry6-reports/2015/andover-bancorp-inc-andover-oh--1071913.pdf,http_download_error:download failed after 3 retries: 404 Client Error: Not Found for url: https://www.clevelandfed.org/-/media/project/clevelandfedtenant/clevelandfedsite/banking/fry6-reports/2015/andover-bancorp-inc-andover-oh--1071913.pdf
2015,,https://www.clevelandfed.org/-/media/project/clevelandfedtenant/clevelandfedsite/banking/fry6-reports/2015/citizens-bancorp-of-morehead-inc-morehead-ky--1071865.pdf,http_download_error:download failed after 3 retries: 404 Client Error: Not Found for url: https://www.clevelandfed.org/-/media/project/clevelandfedtenant/clevelandfedsite/banking/fry6-reports/2015/citizens-bancorp-of-morehead-inc-morehead-ky--1071865.pdf
2015,,https://www.clevelandfed.org/-/media/project/clevelandfedtenant/clevelandfedsite/banking/fry6-reports/2015/keycorp-cleveland-oh--1068025.pdf,http_download_error:download failed after 3 retries: 404 Client Error: Not Found for url: https://www.clevelandfed.org/-/media/project/clevelandfedtenant/clevelandfedsite/banking/fry6-reports/2015/keycorp-cleveland-oh--1068025.pdf
2014,,https://www.clevelandfed.org/-/media/project/clevelandfedtenant/clevelandfedsite/banking/fry6-reports/2014/commerical-bancshares-inc-upper-sandusky-oh--2300012.pdf,http_download_error:download failed after 3 retries: 404 Client Error: Not Found for url: https://www.clevelandfed.org/-/media/project/clevelandfedtenant/clevelandfedsite/banking/fry6-reports/2014/commerical-bancshares-inc-upper-sandusky-oh--2300012.pdf
2014,,https://www.clevelandfed.org/-/media/project/clevelandfedtenant/clevelandfedsite/banking/fry6-reports/2014/commonwealth-holdings-llc-burlington-ky--2332536.pdf,http_download_error:download failed after 3 retries: 404 Client Error: Not Found for url: https://www.clevelandfed.org/-/media/project/clevelandfedtenant/clevelandfedsite/banking/fry6-reports/2014/commonwealth-holdings-llc-burlington-ky--2332536.pdf
2014,,https://www.clevelandfed.org/-/media/project/clevelandfedtenant/clevelandfedsite/banking/fry6-reports/2014/community-first-bancorp-inc-reynoldsville-pa--2376950.pdf,http_download_error:download failed after 3 retries: 404 Client Error: Not Found for url: https://www.clevelandfed.org/-/media/project/clevelandfedtenant/clevelandfedsite/banking/fry6-reports/2014/community-first-bancorp-inc-reynoldsville-pa--2376950.pdf
2014,,https://www.clevelandfed.org/-/media/project/clevelandfedtenant/clevelandfedsite/banking/fry6-reports/2014/community-independent-bancorp-inc-west-salem-oh--1883219.pdf,http_download_error:download failed after 3 retries: 404 Client Error: Not Found for url: https://www.clevelandfed.org/-/media/project/clevelandfedtenant/clevelandfedsite/banking/fry6-reports/2014/community-independent-bancorp-inc-west-salem-oh--1883219.pdf
2014,,https://www.clevelandfed.org/-/media/project/clevelandfedtenant/clevelandfedsite/banking/fry6-reports/2014/farmers-deposit-bancorp-cynthiana-ky--1071511.pdf,http_download_error:download failed after 3 retries: 404 Client Error: Not Found for url: https://www.clevelandfed.org/-/media/project/clevelandfedtenant/clevelandfedsite/banking/fry6-reports/2014/farmers-deposit-bancorp-cynthiana-ky--1071511.pdf
2014,,https://www.clevelandfed.org/-/media/project/clevelandfedtenant/clevelandfedsite/banking/fry6-reports/2014/ffd-financial-corporation-dover-oh--2506805.pdf,http_download_error:download failed after 3 retries: 404 Client Error: Not Found for url: https://www.clevelandfed.org/-/media/project/clevelandfedtenant/clevelandfedsite/banking/fry6-reports/2014/ffd-financial-corporation-dover-oh--2506805.pdf
2014,,https://www.clevelandfed.org/-/media/project/clevelandfedtenant/clevelandfedsite/banking/fry6-reports/2014/peoples-bancorp-inc-marietta-oh--1070578.pdf,http_download_error:download failed after 3 retries: 404 Client Error: Not Found for url: https://www.clevelandfed.org/-/media/project/clevelandfedtenant/clevelandfedsite/banking/fry6-reports/2014/peoples-bancorp-inc-marietta-oh--1070578.pdf
2014,,https://www.clevelandfed.org/-/media/project/clevelandfedtenant/clevelandfedsite/banking/fry6-reports/2014/peoples-holding-company-inc-coldwater-oh--2684543.pdf,http_download_error:download failed after 3 retries: 404 Client Error: Not Found for url: https://www.clevelandfed.org/-/media/project/clevelandfedtenant/clevelandfedsite/banking/fry6-reports/2014/peoples-holding-company-inc-coldwater-oh--2684543.pdf
2014,,https://www.clevelandfed.org/-/media/project/clevelandfedtenant/clevelandfedsite/banking/fry6-reports/2014/the-bank-of-kentucky-financial-corp-crestview-hills-ky--2291624.pdf,http_download_error:download failed after 3 retries: 404 Client Error: Not Found for url: https://www.clevelandfed.org/-/media/project/clevelandfedtenant/clevelandfedsite/banking/fry6-reports/2014/the-bank-of-kentucky-financial-corp-crestview-hills-ky--2291624.pdf
2014,,https://www.clevelandfed.org/-/media/project/clevelandfedtenant/clevelandfedsite/banking/fry6-reports/2014/tristate-capital-holdings-inc-pittsburgh-pa--3475074.pdf,http_download_error:download failed after 3 retries: 404 Client Error: Not Found for url: https://www.clevelandfed.org/-/media/project/clevelandfedtenant/clevelandfedsite/banking/fry6-reports/2014/tristate-capital-holdings-inc-pittsburgh-pa--3475074.pdf
2013,,https://www.clevelandfed.org/-/media/project/clevelandfedtenant/clevelandfedsite/banking/fry6-reports/2013/fryburg-banking-company-inc-fryburg-pa--2687601.pdf,http_download_error:download failed after 3 retries: 404 Client Error: Not Found for url: https://www.clevelandfed.org/-/media/project/clevelandfedtenant/clevelandfedsite/banking/fry6-reports/2013/fryburg-banking-company-inc-fryburg-pa--2687601.pdf
2013,,https://www.clevelandfed.org/-/media/project/clevelandfedtenant/clevelandfedsite/banking/fry6-reports/2013/huntington-bancshares-inc-columbus-oh--1068191.pdf,http_download_error:download failed after 3 retries: 404 Client Error: Not Found for url: https://www.clevelandfed.org/-/media/project/clevelandfedtenant/clevelandfedsite/banking/fry6-reports/2013/huntington-bancshares-inc-columbus-oh--1068191.pdf
2013,,https://www.clevelandfed.org/-/media/project/clevelandfedtenant/clevelandfedsite/banking/fry6-reports/2013/kentucky-bancshares-inc-paris-ky-1070831.pdf,http_download_error:download failed after 3 retries: 404 Client Error: Not Found for url: https://www.clevelandfed.org/-/media/project/clevelandfedtenant/clevelandfedsite/banking/fry6-reports/2013/kentucky-bancshares-inc-paris-ky-1070831.pdf
2013,,https://www.clevelandfed.org/-/media/project/clevelandfedtenant/clevelandfedsite/banking/fry6-reports/2013/pnc-financial-services-group-inc-pittsburgh-pa--1069778.pdf,http_download_error:download failed after 3 retries: 404 Client Error: Not Found for url: https://www.clevelandfed.org/-/media/project/clevelandfedtenant/clevelandfedsite/banking/fry6-reports/2013/pnc-financial-services-group-inc-pittsburgh-pa--1069778.pdf
2013,,https://www.clevelandfed.org/-/media/project/clevelandfedtenant/clevelandfedsite/banking/fry6-reports/2013/security-bancorp-of-maysville-maysville-ky--2952484.pdf,http_download_error:download failed after 3 retries: 404 Client Error: Not Found for url: https://www.clevelandfed.org/-/media/project/clevelandfedtenant/clevelandfedsite/banking/fry6-reports/2013/security-bancorp-of-maysville-maysville-ky--2952484.pdf
2013,,https://www.clevelandfed.org/-/media/project/clevelandfedtenant/clevelandfedsite/banking/fry6-reports/2013/seed-money-ltd-ptr-allison-park-pa-2730048.pdf,http_download_error:download failed after 3 retries: 404 Client Error: Not Found for url: https://www.clevelandfed.org/-/media/project/clevelandfedtenant/clevelandfedsite/banking/fry6-reports/2013/seed-money-ltd-ptr-allison-park-pa-2730048.pdf
2013,,https://www.clevelandfed.org/-/media/project/clevelandfedtenant/clevelandfedsite/banking/fry6-reports/2013/waterford-bancorp-inc-toledo-oh--3588415.pdf,http_download_error:download failed after 3 retries: 404 Client Error: Not Found for url: https://www.clevelandfed.org/-/media/project/clevelandfedtenant/clevelandfedsite/banking/fry6-reports/2013/waterford-bancorp-inc-toledo-oh--3588415.pdf
2013,,https://www.clevelandfed.org/-/media/project/clevelandfedtenant/clevelandfedsite/banking/fry6-reports/2013/wayne-savings-bancshares-inc-wooster-oh--3271203.pdf,http_download_error:download failed after 3 retries: 404 Client Error: Not Found for url: https://www.clevelandfed.org/-/media/project/clevelandfedtenant/clevelandfedsite/banking/fry6-reports/2013/wayne-savings-bancshares-inc-wooster-oh--3271203.pdf
2013,,https://www.clevelandfed.org/-/media/project/clevelandfedtenant/clevelandfedsite/banking/fry6-reports/2013/wesbanco-inc-wheeling-wv--1070448.pdf,http_download_error:download failed after 3 retries: 404 Client Error: Not Found for url: https://www.clevelandfed.org/-/media/project/clevelandfedtenant/clevelandfedsite/banking/fry6-reports/2013/wesbanco-inc-wheeling-wv--1070448.pdf
